Positivacao de Clientes										
										
Filtros										
Data inicial: 01/09/2025										
Data final: 01/10/2025										
Situações: Novos, Ativos, Inativos recentes, Inativos antigos										
										
										
Razão Social	Nome fantasia	CNPJ/CPF	Estado	Vendedor do último pedido	Último pedido	Data do último pedido	Data do penúltimo pedido	Diferença (em dias)	Tags de clientes	Situação
MERCADO FIT & GRANEL PRODUTOS NATURAIS LTDA	FIT & GRANEL	41.069.473/0001-22	MG	Larissa Padilha	1107	17/09/2025	25/08/2025	23,00		Ativo
FORCE SUPLEMENTOS E PRODUTOS NATURAIS LTDA	NUNCA FATURAR NESSE CNPJ - FORCE SUPLEMENTOS	26.240.684/0002-73	SC	Manu Ditzel	1085	17/09/2025	20/08/2025	28,00		Ativo
NEM PEIXE ALIMENTOS VEGANOS LTDA	NEM PEIXE	56.608.812/0001-79	RS	Manu Ditzel	1047	17/09/2025	15/08/2025	33,00		Ativo
VALDIRENE MENESES DE LIMA HONDA PENIDO 02535252171	CEREALISSIMA MGV	28.825.262/0001-04	GO	Larissa Padilha	1033	17/09/2025	08/08/2025	40,00		Ativo
NATURVIDA MERCADO SAUDAVEL LTDA	NATURVIDA	09.185.428/0001-20	RS	Manu Ditzel	1207	16/09/2025	13/08/2025	34,00		Ativo
NATURVIDA MERCADO SAUDAVEL LTDA	NATURVIDA	09.185.428/0004-73	RS	Manu Ditzel	1206	16/09/2025	13/08/2025	34,00		Ativo
NATURVIDA MERCADO SAUDAVEL LTDA	NATURVIDA MERCADO SAUDAVEL LTDA	09.185.428/0003-92	RS	Manu Ditzel	1205	16/09/2025	13/08/2025	34,00		Ativo
PRODUTOS DA TERRA COM DE CEREAIS PROD NATURAIS LTDA	NATUREZA EM KILO	00.211.115/0002-06	PR	Manu Ditzel	1096	16/09/2025	28/08/2025	19,00		Ativo
KLOSTERMANN NUTRICAO LTDA	KLOSTERMANN NUTRICAO	58.072.623/0001-50	SC	Central - Daiane	1073	12/09/2025	29/08/2025	14,00	FIT LAND	Ativo
J.C. DA S. SANTOS	MERCADO FERREIRA	14.419.497/0001-91	SC	Manu Ditzel	1202	11/09/2025	29/08/2025	13,00		Ativo
NATURALIS PRODUTOS NATURAIS LTDA	NATURALIS PRODUTOS NATURAIS	31.545.180/0001-10	SC	Manu Ditzel	1198	10/09/2025	28/08/2025	13,00		Ativo
ALICE NO PAIS DOS GRAOS COMERCIO DE ALIMENTOS LTDA	ALICE NO PAIS DOS GRAOS COMERCIO DE ALIMENTOS	41.626.544/0001-40	RS	Larissa Padilha	1074	10/09/2025	25/08/2025	16,00	TUDO EM GRÃOS	Ativo
22.180.402 CARLA LUCIANA BOCCARDI PALOU	PUDIMZERA	22.180.402/0001-58	SP	Manu Ditzel	1056	04/09/2025	28/08/2025	7,00		Ativo
50.342.650 PRISCILA LILIANE ROSSETO	50.342.650 PRISCILA LILIANE ROSSETO	50.342.650/0001-93	SP	Manu Ditzel	1048	04/09/2025	05/08/2025	30,00		Ativo
A CEREALISSIMA COMERCIO DE PRODUTOS NATURAIS LTDA	A CEREALISSIMA	15.265.760/0001-06	GO	Manu Ditzel	1045	04/09/2025	27/08/2025	8,00		Ativo
REDE NOVO TEMPO DE COMUNICACAO	REDE NOVO TEMPO DE COMUNICACAO	01.385.423/0001-30	SP	Manu Ditzel	1041	03/09/2025	12/08/2025	22,00		Ativo
NATU & FIT LTDA	NATU & FIT	28.088.475/0001-09	ES	Helder Brunkow	1038	03/09/2025	17/07/2025	48,00		Ativo
MAGE MAIS COMERCIO DE ALIMENTOS LTDA	VIDA LEVE BARIGUI	54.423.411/0001-19	PR	Central - Daiane	1183	01/10/2025	29/07/2025	64,00	VIDA LEVE	Inativo recente
BERBERIAN OLIVEIRA COMERCIO LTDA	EXPRESSO CEREALISTA	49.366.518/0001-32	RJ	Larissa Padilha	1095	23/09/2025	22/07/2025	63,00		Inativo recente
55.274.946 MARCELO FERREIRA BASTOS JUNIOR	55.274.946 MARCELO FERREIRA BASTOS JUNIOR	55.274.946/0001-38	BA	Larissa Padilha	1110	18/09/2025	14/07/2025	66,00		Inativo recente
SUPERMERCADO CASTILHO DE CAFELANDIA LTDA.	SUPERMERCADO REDEPAS	04.755.895/0001-25	SP	Larissa Padilha	1103	17/09/2025	30/06/2025	79,00		Inativo recente
HOTEL CURITIBA CAPITAL S/A	RADISSON HOTEL CURITIBA	03.554.611/0003-31	PR	Manu Ditzel	1201	11/09/2025	03/07/2025	70,00		Inativo recente
ROTTA DO SOL HOTELARIA E TURISMO LTDA	SOLAR PORTO DE GALINHAS	08.895.369/0001-11	PE	Manu Ditzel	1065	05/09/2025	02/07/2025	65,00		Inativo recente
KUWADA COMPANIA LTDA	KUWADA COMPANIA LTDA	18.997.672/0001-89	MT	Manu Ditzel	1026	02/09/2025	03/07/2025	61,00		Inativo recente
MS NUTRICAO LTDA	MS NUTRICAO	53.191.899/0001-33	SC	Julio  Gadret	1200	01/10/2025	26/06/2025	97,00	FIT LAND	Inativo antigo
PEDRA BRANCA NUTRICAO LTDA	FIT PEDRA BRANCA	60.546.169/0001-73	SC	Julio  Gadret	1162	29/09/2025	12/06/2025	109,00		Inativo antigo
REIS COMERCIO DE PRODUTOS NATURAIS LTDA	MUNDO VERDE	72.500.887/0001-98	RJ	Manu Ditzel	1159	29/09/2025	25/06/2025	96,00	MUNDO VERDE	Inativo antigo
L & M NUTRICAO LTDA	L & M NUTRICAO	52.261.228/0002-10	SC	Julio  Gadret	1042	29/09/2025	26/06/2025	95,00	FIT LAND	Inativo antigo
ASSOCIACAO DOS FENILCETONURICOS E HOMOCISTINURICOS DO PARANA - AFEH-PR	ASSOCIACAO DOS FENILCETONURICOS E HOMOCISTINURICOS DO PARANA - AFEH-PR	72.326.119/0001-60	PR	Manu Ditzel	1214	26/09/2025	16/05/2025	133,00		Inativo antigo
P H V MOTA	CAPITAL FITNESS - 2/3	43.922.481/0002-86	TO	Larissa Padilha	1146	25/09/2025	10/06/2025	107,00		Inativo antigo
PORT-GALI HOTELARIA E TURISMO LTDA	VIVA PORTO DE GALINHAS RESORT	00.939.085/0001-78	PE	Manu Ditzel	1135	25/09/2025	03/06/2025	114,00		Inativo antigo
NATURHAUS LOJA DE PRODUTOS ALIMENTICIOS NATURAIS LTDA	NATURHAUS	08.626.347/0001-56	SC	Manu Ditzel	1128	24/09/2025	16/06/2025	100,00		Inativo antigo
PRO FIT SUPLEMENTOS LTDA	PRO FIT SUPLEMENTOS	57.701.048/0001-44	SC	Central - Daiane	1126	23/09/2025	27/06/2025	88,00	FIT LAND	Inativo antigo
SOLUCAO PRODUTOS NATURAIS E ORGANICOS LTDA	KORIN	18.885.226/0001-82	RJ	Larissa Padilha	1118	23/09/2025	11/06/2025	104,00		Inativo antigo
EMPÓRIO GAIA PRODUTOS NATURAIS LTDA	EMPÓRIO GAIA	28.180.051/0001-61	RS	Manu Ditzel	1031	19/09/2025	26/06/2025	85,00		Inativo antigo
PACOMIL PAVAO COMERCIAL MINEIRO LTDA	SUPERMERCADO SERVE BEM	02.672.868/0001-63	MG	Larissa Padilha	1112	18/09/2025	30/06/2025	80,00		Inativo antigo
MIX TUDO COMERCIO DE ALIMENTOS E SERVICOS LTDA	MIX TUDO COMERCIO DE ALIMENTOS E SERVICOS	26.249.561/0004-65	ES	Larissa Padilha	1100	16/09/2025	03/04/2025	166,00		Inativo antigo
MADOR PRODUTOS NATURAIS E SUPLEMENTOS LTDA	FRANQUIA FITLAND BLUMENAU SALTO WEISSBACH	55.483.453/0001-08	SC	Central - Daiane	1079	15/09/2025	11/06/2025	96,00	FIT LAND	Inativo antigo
UNIAO SUL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA	UNIAO SUL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA	79.080.602/0001-56	PR	Manu Ditzel	1197	10/09/2025	16/05/2025	117,00		Inativo antigo
DIONEI ARMACHUKI	INTENSE CACAU	12.886.112/0001-70	PR	Manu Ditzel	916	05/09/2025	24/04/2025	134,00		Inativo antigo
ARMAZEM ESTIVA LTDA	ARMAZEM ESTIVA	38.614.942/0001-32	RJ	Manu Ditzel	1052	04/09/2025	06/06/2025	90,00		Inativo antigo
SOUZA & FERREIRA COMERCIO DE PRODUTOS NATURAIS LTDA	PROSAUDE - NOVO PROGRESSO	22.081.589/0001-32	PA	Larissa Padilha	1024	01/09/2025	01/04/2025	153,00		Inativo antigo
										
